Task,Model,Accuracy,Precision,Recall,F1-Score
Department,Random Forest,0.7228682170542635,0.8026063356885499,0.7228682170542635,0.6366777874523295
Urgency,Random Forest,0.6782945736434108,0.7825975048449613,0.6782945736434108,0.5559580756052287
Department,Gradient Boosting,0.9748062015503876,0.9749194223763696,0.9748062015503876,0.9746513628693954
Urgency,Gradient Boosting,0.8856589147286822,0.8858364758046783,0.8856589147286822,0.8828741475983845
Department,SVM,0.9786821705426356,0.9786547393562589,0.9786821705426356,0.9786642045368573
Urgency,SVM,0.9631782945736435,0.9633244699067339,0.9631782945736435,0.9629140706572923
Department,Naive Bayes,0.9418604651162791,0.9417994662600077,0.9418604651162791,0.941226893261777
Urgency,Naive Bayes,0.9186046511627907,0.9204106582201106,0.9186046511627907,0.9167085119753227
Department,LSTM,0.9844961166381836,0.984527918982079,0.9844961240310077,0.9844427750195975
Urgency,LSTM,0.9825581312179565,0.9825401949280014,0.9825581395348837,0.9825449983918804
