Petition Department,Petition Description,Status,
Women & Child Welfare,Address complaints of harassment in hostel accommodations ,Urgent,109
Education Department,No emergency medical facilities in schools for accidents or illnesses.,Urgent,336
Women & Child Welfare,Victims of digital harassment find it difficult to file police complaints as authorities are often not trained to handle cybercrime cases effectively.,Urgent,444
Women & Child Welfare,Lack of proper childcare facilities,Important,1553
Education Department,"Lack of functional science laboratories severely limits practical learning opportunities, hindering students from developing essential experimental skills and scientific inquiry abilities.",Urgent,192
Women & Child Welfare,"Domestic violence cases are rising, yet victims often do not receive timely help due to fear, societal pressure, and legal inefficiencies.",Urgent,2279
Education Department,No verification process for guest lecturers or temporary teaching staff.,Urgent,1337
Education Department,Improve teacher training for better Education Department,Urgent,1854
Education Department,"Food poisoning incidents due to poorly stored or expired food in school canteens, putting students’ health at risk.",Urgent,2286
Education Department,"School transportation charging excessive fees but not providing safe, reliable, and timely services for students.",Urgent,1553
Women & Child Welfare,Victims of digital harassment find it difficult to file police complaints as authorities are often not trained to handle cybercrime cases effectively.,Urgent,649
Education Department,"School lacks fire safety measures, including alarms and extinguishers, putting students and staff at serious risk in emergencies.",Urgent,1599
Education Department,Request for better infrastructure in government schools.,Urgent,310
Women & Child Welfare,"Lack of gender-sensitive training for police officers leads to mishandling of women’s safety complaints, discouraging victims from seeking legal help.",Urgent,2094
Education Department,"Schools denying admission to children from economically weaker backgrounds, violating the Right to Education Act.",Urgent,2353
Education Department,"Vocational training programs in schools are either unavailable or poorly implemented. Students who do not pursue higher Education Department lack the necessary skills to secure employment, impacting their economic independence.",Urgent,2550
Education Department,No provision of substitute teachers during staff absence.,Urgent,1645
Women & Child Welfare,Lack of dedicated safe zones or emergency response points in urban areas makes it difficult for women to find immediate assistance.,Urgent,2330
Education Department,"Teachers using mobile phones during class hours, distracting from lessons and setting a poor example for student discipline.",Urgent,604
Education Department,Biased grading and favoritism during practical exams.,Urgent,1813
Education Department,Frequent power fluctuations damaging school computers and digital boards.,Urgent,2451
Education Department,For evening class student management not provide any transport facilities from college,Urgent,1755
Education Department,Forced participation in unnecessary fund collection drives organized by schools places undue stress on students and detracts from their core academic focus.,Urgent,2506
Education Department,Delays in scholarship disbursement affecting students from economically weaker sections.,Urgent,2324
